LEGO element ID,Amount,Name,Color,Alt. ID
243101,8,Flat Tile 1X4 ,White ,
243121,2,Flat Tile 1X4 ,Br.Red ,
243128,2,Flat Tile 1X4 ,Dk.Green ,
244501,64,Plate 2X12 ,White ,
244526,4,Plate 2X12 ,Black ,
246501,4,Brick 1X16 ,White ,
246526,13,Brick 1X16 ,Black ,
300101,12,Brick 2X4 ,White ,
300123,28,Brick 2X4 ,Br.Blue ,
300126,121,Brick 2X4 ,Black ,
300201,6,Brick 2X3 ,White ,
300226,26,Brick 2X3 ,Black ,
300321,22,Brick 2X2 ,Br.Red ,
300323,4,Brick 2X2 ,Br.Blue ,
300326,22,Brick 2X2 ,Black ,
300401,75,Brick 1X2 ,White ,
300423,2,Brick 1X2 ,Br.Blue ,
300426,60,Brick 1X2 ,Black ,
300501,16,Brick 1X1 ,White ,
300526,10,Brick 1X1 ,Black ,
300723,8,Brick 2X8 ,Br.Blue ,
300726,11,Brick 2X8 ,Black ,6037390
300823,8,Brick 1X8 ,Br.Blue ,
300826,19,Brick 1X8 ,Black ,
300901,48,Brick 1X6 ,White ,
300923,4,Brick 1X6 ,Br.Blue ,
300926,44,Brick 1X6 ,Black ,
301001,10,Brick 1X4 ,White ,
301026,58,Brick 1X4 ,Black ,
302001,84,Plate 2X4 ,White ,
302023,14,Plate 2X4 ,Br.Blue ,
302026,6,Plate 2X4 ,Black ,
302028,1,Plate 2X4 ,Dk.Green ,
302126,2,Plate 2X3 ,Black ,
302221,6,Plate 2X2 ,Br.Red ,
302226,2,Plate 2X2 ,Black ,
302301,96,Plate 1X2 ,White ,
302321,10,Plate 1X2 ,Br.Red ,
302426,4,Plate 1X1 ,Black ,
302726,15,Plate 6X16 ,Black ,
303026,14,Plate 4X10 ,Black ,
303201,64,Plate 4X6 ,White ,
303226,2,Plate 4X6 ,Black ,
303326,1,Plate 6X10 ,Black ,
303426,7,Plate 2X8 ,Black ,
303501,16,Plate 4X8 ,White ,
303601,96,Plate 6X8 ,White ,
303926,202,Roof Tile 2X2/45° ,Black ,
306823,16,Flat Tile 2X2 ,Br.Blue ,
306826,40,Flat Tile 2X2 ,Black ,
306901,33,Flat Tile 1X2 ,White ,
306921,26,Flat Tile 1X2 ,Br.Red ,
306923,1,Flat Tile 1X2 ,Br.Blue ,
306926,1,Flat Tile 1X2 ,Black ,
306928,1,Flat Tile 1X2 ,Dk.Green ,
307021,7,Flat Tile 1X1 ,Br.Red ,
329826,40,Roof Tile 2X3/25° ,Black ,
346021,1,Plate 1X8 ,Br.Red ,
346023,8,Plate 1X8 ,Br.Blue ,
346026,5,Plate 1X8 ,Black ,
362201,8,Brick 1X3 ,White ,
362226,44,Brick 1X3 ,Black ,
362301,64,Plate 1X3 ,White ,
366026,144,Roof Tile 2X2/45 Inv. ,Black ,
366526,32,Roof Tile 1X2 Inv. ,Black ,
366601,2,Plate 1X6 ,White ,
366626,7,Plate 1X6 ,Black ,
370526,12,Cross Axle 4M ,Black ,
370626,204,Cross Axle 6M ,Black ,
370726,330,Cross Axle 8M ,Black ,
371021,10,Plate 1X4 ,Br.Red ,
371023,2,Plate 1X4 ,Br.Blue ,
371026,4,Plate 1X4 ,Black ,
371028,6,Plate 1X4 ,Dk.Green ,
374726,38,Roof Tile 2X3/25° Inv. ,Black ,
379526,5,Plate 2X6 ,Black ,
383321,3,Mini Contractor\U0027S Helmet ,Br.Red ,
395826,4,Plate 6X6 ,Black ,
415001,5,Flat Tile 2X2 Round ,White ,
415026,1,Flat Tile 2X2 Round ,Black ,
416201,8,Flat Tile 1X8 ,White ,
428226,6,Plate 2X16 ,Black ,
428726,4,Roof Tile 1X3/25° Inv. ,Black ,
446026,40,Roof Tile 1X2X3/73° ,Black ,
485501,32,Roof Tile 4X2/18° Inv. ,White ,6030726
611126,42,Brick 1X10 ,Black ,
611226,16,Brick 1X12 ,Black ,
614301,133,Brick Ø16 W. Cross ,White ,
614321,56,Brick Ø16 W. Cross ,Br.Red ,
614324,14,Brick Ø16 W. Cross ,Br.Yel ,
4107081,112,Catch W. Cross Hole ,Black ,
4107085,332,Angle Element 0 Degrees [1] ,Black ,
4107783,176,Angle Element 180 Degrees [2] ,Black ,
4109810,588,2M Cross Axle W. Groove ,Black ,
4112982,4,Brick 1X6 ,Brick-Yel ,
4113233,12,Plate 1X4 ,Brick-Yel ,
4113241,4,Brick 2X2X3 ,Black ,
4113916,4,Brick 1X4 ,Brick-Yel ,
4113917,4,Plate 1X2 ,Brick-Yel ,
4114026,20,Flat Tile 1X2 ,Brick-Yel ,
4118782,11,Plate 1X4 ,Br.Orange ,
4118787,4,Brick 1X3 ,Br.Orange ,
4118790,4,Plate 2X3 ,Brick-Yel ,
4118827,5,Brick 1X4 ,Br.Orange ,
4121739,22,Brick 1X2 ,Br.Orange ,
4121966,60,Roof Tile 1X2/45° ,Black ,
4524929,16,Plate 1X1 ,Br.Orange ,4122463
4124067,12,Plate 1X6 ,Brick-Yel ,
4143372,400,Fric/Fork W. Cross Hole ,Black ,
4144012,128,Plate 6X6 ,White ,
4153825,10,Brick 2X2 ,Br.Orange ,
4153826,8,Brick 2X3 ,Br.Orange ,
4153827,36,Brick 2X4 ,Br.Orange ,
4158355,28,Plate 2X4 ,Br.Orange ,
4158848,400,Fric/Stump With Cross Hole ,Black ,
4159007,2,Plate 2X2 ,Br.Orange ,
4160593,14,Flat Tile 1X4 ,Br.Orange ,
4160857,64,Right Plate 2X4 W/Angle ,White ,
4161326,64,Left Plate 2X4 W/Angle ,White ,
4173332,8,Plate 1X6 ,Br.Orange ,
4177932,8,Plate 1X2 ,Br.Orange ,
4181138,9,Brick 2X6 ,Br.Red ,
4181139,2,Brick 2X6 ,Br.Blue ,
4181144,45,Brick 2X6 ,Black ,
4188771,1,Flat Tile 1X2 ,Br.Orange ,
4208987,64,Left Plate W. Angle 3X12 ,White ,
4209005,64,Right Plate W. Angle 3X12 ,White ,
4210802,10,Plate 8X8 ,Dk. St. Grey ,
4210875,4,Brick 2X6 ,Dk. St. Grey ,
4210997,6,Plate 2X8 ,Dk. St. Grey ,
4210998,24,Plate 1X8 ,Dk. St. Grey ,
4211000,64,Roof Tile 2X2/45 Inv. ,Dk. St. Grey ,
4211008,20,Flat Tile 1X8 ,Dk. St. Grey ,
4211042,16,Plate 2X2 Round ,Dk. St. Grey ,
4211052,65,Flat Tile 1X2 ,Dk. St. Grey ,
4211054,64,Roof Tile 2X2/45° ,Dk. St. Grey ,
4211056,4,Plate 1X6 ,Dk. St. Grey ,
4211061,1,Plate 4X8 ,Dk. St. Grey ,
4211064,16,Roof Tile 2X3/25° Inv. ,Dk. St. Grey ,
4211088,228,Brick 1X2 ,Dk. St. Grey ,
4211098,12,Brick 1X1 ,Dk. St. Grey ,
