LEGO element ID,Amount,Name,Color,Alt. ID
243123,1,FLAT TILE 1X4,Bright Blue,
302126,3,PLATE 2X3,Black,
303526,1,PLATE 4X8,Black,
306926,2,FLAT TILE 1X2,Black,
307023,4,FLAT TILE 1X1,Bright Blue,
371023,5,PLATE 1X4,Bright Blue,
371026,1,PLATE 1X4,Black,
4140445,2,CONICAL WHEEL Z12,Brick Yellow,
4159553,2,PLATE 1X1,Brick Yellow,302405
4211051,6,PRISMATIC BINOCULARS,Dark Stone Grey,
4211518,4,PLATE 1X1 W/HOLDER VERTICAL,Medium Stone Grey,
4211573,2,1/2 BUSH,Medium Stone Grey,
4227155,1,BUSH FOR CROSS AXLE,Bright Red,
4535738,6,PLATE 2X1 W/HOLDER VERTICAL,Medium Stone Grey,
4535768,1,CROSS AXLE 9M,Medium Stone Grey,
4558170,6,FLAT TILE 1X3,Black,
4565323,2,PLATE 2X2 W 1 KNOB,Black,
4616027,2,PLATE 2X2 ROUND,Dark Orange,
6020990,4,PARABOLIC RING,Silver Metallic,
6028812,2,PLATE 1X2 W. 1 HORIZONTAL SNAP,Medium Stone Grey,
6030718,2,PLATE 1X1 W. UP RIGHT HOLDER,Black,
6092582,2,PLATE 1X2 W. 1 KNOB,Bright Blue,379423
6092585,3,PLATE 1X2 W. 1 KNOB,Black,379426
