LEGO element ID,Amount,Name,Color,Alt. ID
242023,24,CORNER PLATE 1X2X2 ,Bright Blue ,
243123,16,FLAT TILE 1X4 ,Bright Blue ,
243126,4,FLAT TILE 1X4 ,Black ,
244523,6,PLATE 2X12 ,Bright Blue ,
245023,24,CORNER PLATE 45 DEG. 3X3 ,Bright Blue ,
300423,16,BRICK 1X2 ,Bright Blue ,
302023,12,PLATE 2X4 ,Bright Blue ,
302026,1,PLATE 2X4 ,Black ,
302123,36,PLATE 2X3 ,Bright Blue ,
302226,1,PLATE 2X2 ,Black ,
302323,60,PLATE 1X2 ,Bright Blue ,
302326,28,PLATE 1X2 ,Black ,
303223,8,PLATE 4X6 ,Bright Blue ,
303426,2,PLATE 2X8 ,Black ,
303523,2,PLATE 4X8 ,Bright Blue ,
306823,62,FLAT TILE 2X2 ,Bright Blue ,
362323,12,PLATE 1X3 ,Bright Blue ,
370526,26,CROSS AXLE 4M ,Black ,
370626,4,CROSS AXLE 6M ,Black ,
379523,16,PLATE 2X6 ,Bright Blue ,
379526,6,PLATE 2X6 ,Black ,
383226,4,PLATE 2X10 ,Black ,
403226,4,PLATE 2X2 ROUND ,Black ,
416223,12,FLAT TILE 1X8 ,Bright Blue ,
416226,6,FLAT TILE 1X8 ,Black ,
601926,32,PLATE 1X1 W/HOLDER VERTICAL ,Black ,
614123,6,PLATE 1X1 ROUND ,Bright Blue ,
663626,6,FLAT TILE 1X6 ,Black ,
3005740,10,PLATE 1X1 ROUND – TR. ,Transparent ,
4109995,4,BRICK 1X2 ,Brick Yellow ,
4113917,4,PLATE 1X2 ,Brick Yellow ,
4114026,2,FLAT TILE 1X2 ,Brick Yellow ,
4114084,4,PLATE 2X2 ,Brick Yellow ,
4114309,2,PLATE 2X4 ,Brick Yellow ,
4118785,16,FLAT TILE 1X6 ,Bright Blue ,
4118790,2,PLATE 2X3 ,Brick Yellow ,
4121921,10,PLATE 1X3 ,Brick Yellow ,
4140445,6,CONICAL WHEEL Z12 ,Brick Yellow ,
4142865,48,2M CROSS AXLE W. GROOVE ,Bright Red ,
4161734,6,PLATE 1X1 ROUND ,Brick Yellow ,
4167842,24,PLATE 1X2 – TR. ,Transparent ,
4179771,12,TECHNIC BRICK 1X1 ,Brick Yellow ,
4185177,2,FLAT TILE 2X2 ,Brick Yellow ,
4199519,2,PLATE 6X6 ,Bright Blue ,
4210658,16,ANGLE ELEMENT 0 DEGREES [1] ,Dark Stone Grey ,
