LEGO element ID,Amount,Name,Color,Alt. ID
241901,32,Corner Plate 3X6 ,White ,
302001,5,Plate 2X4 ,White ,
302101,38,Plate 2X3 ,White ,
302201,4,Plate 2X2 ,White ,
302301,32,Plate 1X2 ,White ,
303501,10,Plate 4X8 ,White ,
306221,2,Round Brick 1X1 ,Br.Red ,
306801,8,Flat Tile 2X2 ,White ,
306901,8,Flat Tile 1X2 ,White ,
366601,12,Plate 1X6 ,White ,
370526,2,Cross Axle 4M ,Black ,
370726,2,Cross Axle 8M ,Black ,
403201,4,Plate 2X2 Round ,White ,
614101,16,Plate 1X1 Round ,White ,
614324,2,Brick Ø16 W. Cross ,Br.Yel ,
614326,2,Brick Ø16 W. Cross ,Black ,
4125220,2,Brick Ø16 W. Cross ,Brick-Yel ,
4140303,1,Light Sword – Blade ,Black ,
4160857,32,Right Plate 2X4 W/Angle ,White ,
4161326,32,Left Plate 2X4 W/Angle ,White ,
4210633,36,Plate 1X1 Round ,Dk. St. Grey ,
4211044,12,Angular Brick 1X1 ,Dk. St. Grey ,
4211052,8,Flat Tile 1X2 ,Dk. St. Grey ,
4211090,116,Round Brick 1X1 ,Dk. St. Grey ,
4211133,48,Plate 1X3 ,Dk. St. Grey ,
4211622,2,Bush For Cross Axle ,Med. St-Grey ,
4211628,12,Light Sword – Blade ,Med. St-Grey ,
4222017,16,Plate 1X2 W. Stick 3.18 ,White ,
4243812,6,Plate 4X4 ,White ,
4512360,2,Cross Axle Extension 2M ,Med. St-Grey ,
4515347,10,Plate 4X4 Round W. Snap ,White ,
4556152,16,Plate 1X2 W/Holder Vertical ,White ,
4558959,4,Brick 4X4 Round W. Ø4.9 W. Kl. ,Dk. St. Grey ,
4567436,24,Brick 2X2W.Inside And Outs.Bow ,Black ,
4282737,2,Angle Plate 1X2/1X4 ,White ,243601
