LEGO element ID,Amount,Name,Color,Alt. ID
6037390,4,BRICK 2X8 ,Black ,300726
306223,18,ROUND BRICK 1X1 ,Bright Blue ,
4211476,6,ANGULAR BRICK 1X1 ,Medium Stone Grey ,
4558954,4,BRICK 1X1 W. 1 KNOB ,Black ,
4558953,2,BRICK 1X1 W. 1 KNOB ,Medium Stone Grey ,
4583862,7,BRICK 1X1 W. 1 KNOB ,Bright Blue ,
4213567,4,BRICK 1X1 W. 2 KNOBS ,Medium Stone Grey ,
4210724,1,BRICK 1X2/FRIC/FORK VERT./END ,Dark Stone Grey ,
4521921,2,ROOF TILE 1X1X2/3 ABS ,Medium Stone Grey ,
4504380,4,ROOF TILE 1X1X2/3 ABS ,Bright Blue ,
307026,4,FLAT TILE 1X1 ,Black ,
4211288,2,FLAT TILE 1X1 ,Reddish Brown ,
4558593,2,FLAT TILE 1X1 ,Dark Green ,307028
307023,6,FLAT TILE 1X1 ,Bright Blue ,
4211399,17,PLATE 1X1 ,Medium Stone Grey ,
302421,1,PLATE 1X1 ,Bright Red ,
4221744,2,PLATE 1X1 ,Reddish Brown ,
4159553,2,PLATE 1X1 ,Brick Yellow ,302405
302428,1,PLATE 1X1 ,Dark Green ,
302423,6,PLATE 1X1 ,Bright Blue ,
241226,3,RADIATOR GRILLE 1X2 ,Black ,
241221,3,RADIATOR GRILLE 1X2 ,Bright Red ,
241224,1,RADIATOR GRILLE 1X2 ,Bright Yellow ,
306926,5,FLAT TILE 1X2 ,Black ,
4211414,4,FLAT TILE 1X2 ,Medium Stone Grey ,
4165783,1,FLAT TILE 1X2 ,New Dark Red ,
4622062,1,FLAT TILE 1X2 ,Flame Yellowish Orange ,
4164025,2,FLAT TILE 1X2 ,Bright Yellowish Green ,
306923,1,FLAT TILE 1X2 ,Bright Blue ,
4580010,1,FLAT TILE 1X2 ,Light Purple ,
4211398,6,PLATE 1X2 ,Medium Stone Grey ,
4162582,1,PLATE 1X2 ,New Dark Red ,
4179825,4,PLATE 1X2 ,Medium Blue ,
6092583,3,PLATE 1X2 W. 1 KNOB ,Bright Yellow ,379424
6092582,2,PLATE 1X2 W. 1 KNOB ,Bright Blue ,379423
6092585,20,PLATE 1X2 W. 1 KNOB ,Black ,379426
6066097,1,PLATE 1X2 W. 1 KNOB ,Medium Stone Grey ,
4558170,20,FLAT TILE 1X3 ,Black ,
4568734,3,FLAT TILE 1X3 ,Dark Stone Grey ,
6023083,3,FLAT TILE 1X3 ,Dark Green ,
243126,1,FLAT TILE 1X4 ,Black ,
4164021,2,FLAT TILE 1X4 ,Bright Yellowish Green ,
243123,1,FLAT TILE 1X4 ,Bright Blue ,
306826,3,FLAT TILE 2X2 ,Black ,
4107762,1,FLAT TILE 2X2 ,Dark Green ,306828
4211429,1,PLATE 1X3 ,Medium Stone Grey ,
362321,8,PLATE 1X3 ,Bright Red ,
362323,3,PLATE 1X3 ,Bright Blue ,
4211353,2,CORNER PLATE 1X2X2 ,Medium Stone Grey ,
4114077,2,CORNER PLATE 1X2X2 ,Brick Yellow ,242005
302226,4,PLATE 2X2 ,Black ,
4537937,1,PLATE 2X2 ,Bright Yellowish Green ,4122443
371026,4,PLATE 1X4 ,Black ,
371023,5,PLATE 1X4 ,Bright Blue ,
4565323,14,PLATE 2X2 W 1 KNOB ,Black ,
4581079,2,PLATE 2X2 W 1 KNOB ,Medium Blue ,
302126,10,PLATE 2X3 ,Black ,
4211396,2,PLATE 2X3 ,Medium Stone Grey ,
302123,1,PLATE 2X3 ,Bright Blue ,
302026,1,PLATE 2X4 ,Black ,
4211395,1,PLATE 2X4 ,Medium Stone Grey ,
4211425,4,PLATE 1X8 ,Medium Stone Grey ,
4113158,1,PLATE 4X4 ,Dark Green ,
303426,4,PLATE 2X8 ,Black ,
303526,4,PLATE 4X8 ,Black ,
4655241,10,FLAT TILE 1X1 ROUND ,Silver Metallic ,
4633691,17,PLATE 1X1 ROUND ,Silver Metallic ,
6066342,1,FLAT TILE 2X2 ROUND ,Bright Red ,
403221,2,PLATE 2X2 ROUND ,Bright Red ,
4211159,2,PLATE 2X2 ROUND ,Reddish Brown ,
4616027,2,PLATE 2X2 ROUND ,Dark Orange ,
403223,2,PLATE 2X2 ROUND ,Bright Blue ,
4515351,2,PLATE 4X4 ROUND W. SNAP ,Medium Stone Grey ,
4515348,2,PLATE 4X4 ROUND W. SNAP ,Bright Red ,
6030718,2,PLATE 1X1 W. UP RIGHT HOLDER ,Black ,
4211518,14,PLATE 1X1 W/HOLDER VERTICAL ,Medium Stone Grey ,
601921,12,PLATE 1X1 W/HOLDER VERTICAL ,Bright Red ,
408123,2,LAMP HOLDER ,Bright Blue ,
4183981,1,PLATE 1X2 W/FORK/VERTICAL/END ,Bright Yellow ,
4160483,4,PLATE 1X2 WITH SLIDE ,Brick Yellow ,
4597713,2,PLATE 1X2 W. VERTICAL GRIP ,Bright Red ,
4535738,6,PLATE 2X1 W/HOLDER VERTICAL ,Medium Stone Grey ,
4211814,2,PLATE 1X2 W. STUB/VERTICAL ,Medium Stone Grey ,
6028812,2,PLATE 1X2 W. 1 HORIZONTAL SNAP ,Medium Stone Grey ,
4211419,1,COUPLING PLATE 2X2 ,Medium Stone Grey ,
6020990,8,PARABOLIC RING ,Silver Metallic ,
4211472,1,PLATE 2X2 ANGLE ,Medium Stone Grey ,
4211573,2,1/2 BUSH ,Medium Stone Grey ,
4227155,1,BUSH FOR CROSS AXLE ,Bright Red ,
4535768,1,CROSS AXLE 9M ,Medium Stone Grey ,
4140445,2,CONICAL WHEEL Z12 ,Brick Yellow ,
4158791,1,LIGHT SWORD – BLADE ,Brick Yellow ,
6028323,1,FEZ ,White ,
4211051,6,PRISMATIC BINOCULARS ,Dark Stone Grey,
